RK,TEAM,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,3PR,3PRD,WAB,SEED
23,Purdue,B10,31,23,114.6,97.7,0.8223,44.1,41.6,18.5,20.2,20.0,23.1,43.8,39.9,50.7,44.7,36.7,45.5,73.5,35.45872952196744,27.357469160775164,7.8,
24,Michigan State,B10,33,10,109.0,92.6,0.8166,54.9,46.1,14.0,6.3,31.1,31.8,27.2,25.5,54.1,48.9,35.8,41.2,59.0,35.45872952196744,27.357469160775164,-8.9,
25,Oregon,P12,34,15,99.4,83.1,0.8145,49.7,45.9,15.3,16.9,41.5,24.5,45.9,33.4,55.2,49.1,29.8,26.4,63.2,35.45872952196744,27.357469160775164,-0.1,
26,BYU,WCC,38,10,115.4,99.7,0.807,55.0,44.5,9.3,19.6,38.2,28.0,39.1,24.9,55.7,47.0,29.4,31.6,68.5,35.45872952196744,27.357469160775164,-8.2,
27,San Francisco,WCC,36,23,113.8,98.5,0.8009,52.2,49.2,13.5,18.5,20.5,26.1,27.0,25.0,46.6,53.2,32.1,30.9,76.9,35.45872952196744,27.357469160775164,4.9,
28,Florida,SEC,29,17,103.9,90.0,0.7797,52.9,50.5,17.3,20.1,34.9,30.9,35.3,37.5,45.8,54.5,28.8,38.9,62.5,35.45872952196744,27.357469160775164,2.8,
29,Murray State,OVC,36,27,97.7,84.1,0.7759,49.2,46.9,20.4,19.1,33.7,24.6,35.8,36.2,58.5,54.7,42.9,29.1,65.3,35.45872952196744,27.357469160775164,6.4,
30,Tennessee,SEC,36,22,110.4,96.9,0.7721,49.5,48.4,11.3,17.7,47.0,31.4,29.2,28.8,50.8,52.4,34.5,28.2,78.6,35.45872952196744,27.357469160775164,7.6,
31,Iowa State,B12,35,28,101.9,88.7,0.768,52.4,47.5,16.8,22.1,36.4,21.0,39.7,33.3,39.8,38.5,28.9,20.5,61.5,35.45872952196744,27.357469160775164,9.0,
32,Miami,ACC,33,11,118.9,106.2,0.7597,56.4,47.1,17.3,21.5,25.6,29.5,35.8,28.8,49.9,39.4,26.3,34.4,84.6,35.45872952196744,27.357469160775164,-4.9,
33,Memphis,Amer,29,14,109.1,96.5,0.7586,50.2,43.2,16.1,29.3,37.4,12.1,18.9,33.1,55.0,52.3,41.1,40.3,51.7,35.45872952196744,27.357469160775164,-4.5,
34,Texas Tech,B12,37,36,110.3,98.0,0.7535,43.7,42.8,13.0,15.3,21.4,33.2,28.6,21.5,43.7,46.0,27.7,30.0,64.0,35.45872952196744,27.357469160775164,20.8,
35,Stanford,P12,31,26,111.8,99.6,0.7523,52.3,51.2,14.8,15.4,39.3,31.8,25.3,20.1,54.4,42.0,30.3,25.0,72.0,35.45872952196744,27.357469160775164,10.9,
36,Syracuse,ACC,35,28,101.8,92.0,0.7091,49.5,49.6,18.7,7.6,19.0,32.8,28.4,29.4,48.6,47.2,37.4,30.2,65.3,35.45872952196744,27.357469160775164,9.9,
37,Baylor,B12,36,19,106.0,97.1,0.6929,44.8,55.0,16.0,16.3,37.2,27.0,42.1,37.3,54.5,46.4,30.8,39.8,72.9,35.45872952196744,27.357469160775164,1.9,
38,Cincinnati,Amer,29,10,109.7,101.7,0.6751,51.7,52.0,16.5,17.8,27.6,34.5,41.5,33.6,45.6,44.4,32.9,33.3,60.7,35.45872952196744,27.357469160775164,-4.1,
39,Creighton,BE,37,27,99.9,92.6,0.6596,37.8,54.3,15.4,19.9,32.9,24.6,39.1,20.7,50.2,57.0,34.1,38.3,74.7,35.45872952196744,27.357469160775164,6.5,
40,Duke,ACC,31,26,95.2,88.0,0.6567,52.2,52.5,20.3,16.7,39.2,28.5,44.1,40.1,58.6,46.9,22.0,35.5,61.0,35.45872952196744,27.357469160775164,8.1,
41,Dayton,A10,29,18,105.2,99.0,0.6387,49.3,42.6,17.4,23.9,29.1,30.0,31.8,27.3,50.7,40.7,23.9,27.5,73.4,35.45872952196744,27.357469160775164,7.0,
42,Saint Mary's,WCC,34,30,98.2,92.1,0.6358,51.6,39.8,17.6,17.2,35.5,27.5,33.8,23.7,48.2,43.1,31.6,37.6,67.8,35.45872952196744,27.357469160775164,16.3,
43,North Carolina,ACC,35,26,105.2,99.5,0.6275,44.8,51.4,20.5,17.0,32.7,17.8,31.9,27.5,52.2,54.4,34.6,39.1,78.1,35.45872952196744,27.357469160775164,9.0,
44,Alabama,SEC,28,12,102.7,97.5,0.6156,54.3,41.3,12.7,17.6,29.9,28.2,45.0,24.0,52.9,46.5,29.6,32.6,74.1,35.45872952196744,27.357469160775164,-3.1,
45,Austin Peay,OVC,34,23,90.2,85.4,0.6065,40.0,52.6,16.3,19.4,42.5,27.2,25.3,22.8,58.7,47.7,35.4,33.5,54.3,35.45872952196744,27.357469160775164,3.3,
46,West Virginia,B12,34,14,93.7,89.4,0.5964,49.9,50.0,18.5,7.4,30.8,31.6,42.6,34.0,54.9,44.4,38.6,37.9,70.7,35.45872952196744,27.357469160775164,-2.2,
47,VCU,A10,39,19,105.1,100.8,0.5958,62.2,52.0,17.3,16.6,36.6,29.3,33.4,35.6,58.8,48.1,27.3,40.7,65.5,35.45872952196744,27.357469160775164,-2.9,
48,Indiana,B10,31,19,89.3,86.7,0.5578,39.3,48.6,13.8,14.0,35.2,27.2,28.3,25.9,48.2,54.7,38.3,37.5,65.6,35.45872952196744,27.357469160775164,0.2,
49,LSU,SEC,30,12,99.0,96.6,0.5542,53.1,52.9,16.9,14.7,37.9,31.2,38.2,27.7,47.0,51.8,32.3,31.4,55.2,35.45872952196744,27.357469160775164,-7.8,
50,Michigan,B10,35,26,107.5,105.4,0.5492,41.2,50.4,13.8,25.2,22.6,27.5,44.1,25.8,46.9,42.2,35.8,24.2,66.7,35.45872952196744,27.357469160775164,7.5,
51,San Diego State,MWC,34,21,102.4,101.6,0.5171,42.7,48.4,13.7,7.6,34.2,26.2,41.9,32.8,58.7,52.1,46.2,27.8,64.6,35.45872952196744,27.357469160775164,7.3,
52,Ohio State,B10,35,29,93.4,94.0,0.4868,56.2,52.3,16.8,18.0,41.4,29.7,30.5,18.6,53.8,44.3,46.5,32.4,71.5,35.45872952196744,27.357469160775164,12.4,
53,Marquette,BE,36,14,113.9,114.4,0.4867,52.2,44.1,20.1,11.2,26.6,27.8,39.8,30.2,55.4,54.8,31.2,33.8,65.9,35.45872952196744,27.357469160775164,-3.2,
54,Louisville,ACC,31,19,95.8,96.6,0.4797,47.7,45.2,14.4,20.0,30.2,30.9,35.0,31.7,52.8,42.5,45.7,21.2,73.4,35.45872952196744,27.357469160775164,4.5,
55,Colorado State,MWC,31,19,88.9,92.7,0.413,50.7,46.7,11.4,16.6,47.7,29.4,29.9,29.6,55.4,51.7,42.2,39.9,73.3,35.45872952196744,27.357469160775164,4.1,
56,Utah State,MWC,38,32,80.3,89.2,0.3082,47.6,47.9,15.0,22.6,32.8,21.0,47.5,40.0,42.7,44.7,37.4,33.4,65.0,35.45872952196744,27.357469160775164,13.9,
57,Mississippi State,SEC,30,22,105.0,114.0,0.3051,46.7,53.6,7.3,17.5,20.7,31.8,33.4,30.4,54.5,39.7,33.6,37.4,70.1,35.45872952196744,27.357469160775164,6.8,
58,Clemson,ACC,36,17,87.8,101.9,0.2173,51.0,56.1,17.2,17.8,34.9,29.7,31.0,37.5,49.9,53.0,29.6,41.4,70.4,35.45872952196744,27.357469160775164,-1.4,
59,Illinois,B10,32,27,95.4,111.3,0.1919,45.1,52.2,13.1,20.0,36.7,25.0,34.4,23.9,55.8,45.7,36.6,28.7,65.8,35.45872952196744,27.357469160775164,8.7,
60,Wake Forest,ACC,37,27,91.9,118.6,0.081,49.0,50.8,18.7,20.0,31.8,26.3,33.6,29.0,50.8,55.7,25.5,30.7,64.7,35.45872952196744,27.357469160775164,7.9,
