RK,TEAM,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,3PR,3PRD,WAB,SEED
42,Louisville,ACC,38,31,109.4,98.3,0.7329,50.9,48.3,14.0,21.2,25.1,32.5,36.9,24.6,48.9,51.8,30.4,29.3,73.8,29.39696746494872,23.281739301222736,16.2,
43,Clemson,ACC,34,17,108.8,98.8,0.7128,48.7,46.0,13.3,16.1,36.9,28.7,22.1,28.3,45.3,42.6,50.6,36.6,62.3,29.39696746494872,23.281739301222736,2.9,
44,Tennessee,SEC,29,27,107.6,99.2,0.6823,45.5,54.7,18.0,15.2,35.0,22.5,46.8,36.4,45.8,51.6,37.4,37.4,56.6,29.39696746494872,23.281739301222736,11.6,
45,Kentucky,SEC,35,29,104.8,103.0,0.539,51.4,49.2,16.3,26.6,16.0,29.1,48.6,28.9,52.8,45.8,47.7,31.2,69.3,29.39696746494872,23.281739301222736,14.5,
46,Davidson,A10,29,15,89.0,88.5,0.5116,46.5,42.7,18.5,20.0,30.7,35.5,32.9,33.5,43.2,55.4,38.6,36.6,53.9,29.39696746494872,23.281739301222736,1.6,
47,VCU,A10,30,18,103.3,102.8,0.5101,52.3,53.6,11.8,21.9,27.7,35.3,33.1,33.7,43.5,45.3,28.6,37.9,72.8,29.39696746494872,23.281739301222736,-0.2,
48,Marquette,BE,30,19,96.0,95.7,0.5078,46.3,52.2,15.4,18.5,40.3,27.3,26.1,21.8,57.5,51.8,35.2,31.1,66.0,29.39696746494872,23.281739301222736,4.8,
49,Indiana,B10,32,22,111.0,113.0,0.4536,41.7,44.8,15.5,15.2,37.0,34.7,24.4,37.8,53.9,45.0,28.9,27.6,57.9,29.39696746494872,23.281739301222736,5.4,
50,Nevada,MWC,31,30,99.9,102.7,0.438,51.0,41.3,15.3,17.0,34.4,29.5,31.8,28.6,48.2,52.1,38.7,37.6,54.3,29.39696746494872,23.281739301222736,14.2,
51,Austin Peay,OVC,36,10,87.8,90.8,0.4323,49.4,46.2,14.4,25.3,35.5,27.2,36.9,18.5,52.9,46.5,35.2,36.7,78.3,29.39696746494872,23.281739301222736,-9.9,
52,Dayton,A10,39,12,94.2,97.8,0.4181,48.7,44.2,15.1,14.7,33.4,27.8,38.8,25.0,50.6,52.1,31.3,38.9,75.2,29.39696746494872,23.281739301222736,-5.7,
53,San Francisco,WCC,34,33,98.9,104.4,0.377,49.2,50.2,18.8,18.2,35.0,23.2,49.7,37.1,46.2,51.2,37.3,29.4,42.3,29.39696746494872,23.281739301222736,18.4,
54,San Diego State,MWC,35,12,99.9,106.2,0.3621,49.9,45.5,17.9,21.0,28.6,29.6,38.8,34.9,42.5,35.8,29.5,31.9,79.0,29.39696746494872,23.281739301222736,-3.1,
55,Illinois,B10,39,19,92.3,98.7,0.3586,49.7,45.1,16.0,20.1,41.0,26.3,33.0,16.0,50.9,40.1,36.1,37.6,71.4,29.39696746494872,23.281739301222736,2.3,
56,Miami,ACC,38,10,100.0,108.1,0.3238,53.6,47.4,12.0,26.0,36.5,26.7,47.4,32.6,49.2,49.3,30.2,28.7,76.0,29.39696746494872,23.281739301222736,-8.1,
57,Arkansas,SEC,34,23,85.2,93.6,0.3171,56.0,48.6,17.1,18.4,28.6,15.3,34.3,33.0,50.4,45.0,37.8,33.3,72.7,29.39696746494872,23.281739301222736,5.7,
58,Utah State,MWC,36,28,96.6,115.8,0.1483,44.8,52.6,11.8,13.9,33.2,29.5,40.6,33.3,49.9,43.5,37.2,35.2,62.9,29.39696746494872,23.281739301222736,9.4,
59,Colorado State,MWC,38,34,86.9,106.5,0.1448,56.1,46.7,17.6,9.2,34.1,25.0,47.0,17.5,55.4,42.3,33.8,43.7,59.2,29.39696746494872,23.281739301222736,12.7,
60,Michigan,B10,38,27,98.4,118.0,0.1438,42.3,49.7,14.4,14.0,35.8,24.7,42.2,35.2,48.5,51.0,41.0,36.0,70.0,29.39696746494872,23.281739301222736,9.4,
